FeatureCode,Start Date ,End Date,Equity Loans,Loan category
E07000099,01 April 2013,30 September 2019,295,Total Equity Loans
E07000242,01 April 2013,30 September 2019,485,Equity Loans to First Time Buyers
E07000242,01 April 2013,30 September 2019,665,Total Equity Loans
E08000025,01 April 2013,30 September 2019,1835,Equity Loans to First Time Buyers
E08000025,01 April 2013,30 September 2019,2113,Total Equity Loans
E08000029,01 April 2013,30 September 2019,749,Equity Loans to First Time Buyers
E08000029,01 April 2013,30 September 2019,905,Total Equity Loans
E07000234,01 April 2013,30 September 2019,271,Equity Loans to First Time Buyers
E07000234,01 April 2013,30 September 2019,425,Total Equity Loans
E08000028,01 April 2013,30 September 2019,1145,Equity Loans to First Time Buyers
E08000028,01 April 2013,30 September 2019,1303,Total Equity Loans
E08000030,01 April 2013,30 September 2019,987,Equity Loans to First Time Buyers
E08000030,01 April 2013,30 September 2019,1098,Total Equity Loans
E07000218,01 April 2013,30 September 2019,148,Equity Loans to First Time Buyers
E07000218,01 April 2013,30 September 2019,225,Total Equity Loans
E07000221,01 April 2013,30 September 2019,769,Equity Loans to First Time Buyers
E07000221,01 April 2013,30 September 2019,1115,Total Equity Loans
E07000238,01 April 2013,30 September 2019,777,Equity Loans to First Time Buyers
E07000238,01 April 2013,30 September 2019,1141,Total Equity Loans
E08000027,01 April 2013,30 September 2019,767,Equity Loans to First Time Buyers
E08000027,01 April 2013,30 September 2019,925,Total Equity Loans
E07000194,01 April 2013,30 September 2019,600,Equity Loans to First Time Buyers
E07000194,01 April 2013,30 September 2019,755,Total Equity Loans
E07000199,01 April 2013,30 September 2019,256,Equity Loans to First Time Buyers
E07000199,01 April 2013,30 September 2019,361,Total Equity Loans
E07000236,01 April 2013,30 September 2019,343,Equity Loans to First Time Buyers
E07000236,01 April 2013,30 September 2019,487,Total Equity Loans
E07000222,01 April 2013,30 September 2019,600,Equity Loans to First Time Buyers
E07000222,01 April 2013,30 September 2019,793,Total Equity Loans
E06000008,01 April 2013,30 September 2019,307,Equity Loans to First Time Buyers
E06000008,01 April 2013,30 September 2019,361,Total Equity Loans
E07000120,01 April 2013,30 September 2019,230,Equity Loans to First Time Buyers
E07000120,01 April 2013,30 September 2019,255,Total Equity Loans
E07000125,01 April 2013,30 September 2019,186,Equity Loans to First Time Buyers
E07000125,01 April 2013,30 September 2019,246,Total Equity Loans
E07000124,01 April 2013,30 September 2019,269,Equity Loans to First Time Buyers
E07000124,01 April 2013,30 September 2019,384,Total Equity Loans
E07000117,01 April 2013,30 September 2019,391,Equity Loans to First Time Buyers
E07000117,01 April 2013,30 September 2019,447,Total Equity Loans
E07000122,01 April 2013,30 September 2019,108,Equity Loans to First Time Buyers
E07000122,01 April 2013,30 September 2019,143,Total Equity Loans
E07000163,01 April 2013,30 September 2019,54,Equity Loans to First Time Buyers
E07000163,01 April 2013,30 September 2019,76,Total Equity Loans
E07000118,01 April 2013,30 September 2019,875,Equity Loans to First Time Buyers
E07000118,01 April 2013,30 September 2019,1234,Total Equity Loans
E07000126,01 April 2013,30 September 2019,579,Equity Loans to First Time Buyers
E07000126,01 April 2013,30 September 2019,726,Total Equity Loans
E08000032,01 April 2013,30 September 2019,1604,Equity Loans to First Time Buyers
E08000032,01 April 2013,30 September 2019,1815,Total Equity Loans
E08000035,01 April 2013,30 September 2019,2507,Equity Loans to First Time Buyers
E08000035,01 April 2013,30 September 2019,3077,Total Equity Loans
E08000034,01 April 2013,30 September 2019,582,Equity Loans to First Time Buyers
E08000034,01 April 2013,30 September 2019,785,Total Equity Loans
E08000033,01 April 2013,30 September 2019,207,Equity Loans to First Time Buyers
E08000033,01 April 2013,30 September 2019,284,Total Equity Loans
E07000165,01 April 2013,30 September 2019,195,Equity Loans to First Time Buyers
E07000165,01 April 2013,30 September 2019,277,Total Equity Loans
E07000091,01 April 2013,30 September 2019,90,Equity Loans to First Time Buyers
E07000091,01 April 2013,30 September 2019,108,Total Equity Loans
E08000002,01 April 2013,30 September 2019,460,Equity Loans to First Time Buyers
E08000002,01 April 2013,30 September 2019,534,Total Equity Loans
E08000001,01 April 2013,30 September 2019,593,Equity Loans to First Time Buyers
E08000001,01 April 2013,30 September 2019,691,Total Equity Loans
E08000006,01 April 2013,30 September 2019,1206,Equity Loans to First Time Buyers
E08000006,01 April 2013,30 September 2019,1384,Total Equity Loans
E08000005,01 April 2013,30 September 2019,1105,Equity Loans to First Time Buyers
E08000005,01 April 2013,30 September 2019,1304,Total Equity Loans
E06000043,01 April 2013,30 September 2019,38,Equity Loans to First Time Buyers
E06000043,01 April 2013,30 September 2019,49,Total Equity Loans
E07000228,01 April 2013,30 September 2019,881,Equity Loans to First Time Buyers
E07000228,01 April 2013,30 September 2019,1229,Total Equity Loans
E07000063,01 April 2013,30 September 2019,74,Equity Loans to First Time Buyers
E07000063,01 April 2013,30 September 2019,121,Total Equity Loans
E07000229,01 April 2013,30 September 2019,465,Equity Loans to First Time Buyers
E07000229,01 April 2013,30 September 2019,615,Total Equity Loans
E07000227,01 April 2013,30 September 2019,1008,Equity Loans to First Time Buyers
E07000227,01 April 2013,30 September 2019,1408,Total Equity Loans
E07000224,01 April 2013,30 September 2019,782,Equity Loans to First Time Buyers
E07000224,01 April 2013,30 September 2019,1051,Total Equity Loans
E07000223,01 April 2013,30 September 2019,85,Equity Loans to First Time Buyers
E07000223,01 April 2013,30 September 2019,101,Total Equity Loans
E07000225,01 April 2013,30 September 2019,254,Equity Loans to First Time Buyers
